event_id,event_source,scene_token,track_id,class_name,duration,coverage,window_frame_indices,seed,mask_box,source_image_path,cache_key
325cef68_track27_controlled_visual_d2_c1.0,controlled_visual,325cef682f064c55a255f2625c533b75,27,person,2,1.0,40;41,8528,"[357.0, 471.0, 414.8, 616.6]",sweeps/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984236862460.jpg,8b12cbefdef8bbd31fd2a00f2e831510f541cca5647c1ba31bc7c4c5c6901810
325cef68_track27_controlled_visual_d5_c0.5,controlled_visual,325cef682f064c55a255f2625c533b75,27,person,5,0.5,39;40;41;42;43,2633,"[394.2, 499.3, 431.7, 597.3]",sweeps/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984236762460.jpg,710bc80002cc89f821b1c4fc1b751b281954380fd04b50a27dbc754128b9971f
325cef68_track27_controlled_visual_d5_c1.0,controlled_visual,325cef682f064c55a255f2625c533b75,27,person,5,1.0,39;40;41;42;43,7239,"[386.5, 479.0, 439.5, 617.6]",sweeps/CAM_FRONT/n015-2018-10-08-15-36-50+0800__CAM_FRONT__1538984236762460.jpg,fe84ba1b7cadd9399c158447606dd58d05e99254796bca8469b29b46cfefdd93
de7d80a1_track8_controlled_visual_d2_c0.5,controlled_visual,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,2,0.5,50;51,285,"[757.7, 533.0, 778.3, 603.6]",sweeps/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852112460.jpg,986293d4727d212cfcee77adb22287e9673fe485f365ac5e034c328541c3629c
de7d80a1_track8_controlled_visual_d2_c1.0,controlled_visual,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,2,1.0,50;51,6345,"[753.5, 518.4, 782.6, 618.2]",sweeps/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852112460.jpg,2803aebe2dbf79faa2b7c4770e33d3158a31a198085bddccc6ed307ec64f03e2
de7d80a1_track8_controlled_visual_d5_c0.5,controlled_visual,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,5,0.5,49;50;51;52;53,5119,"[755.4, 536.1, 778.6, 608.1]",sweeps/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852012460.jpg,3028cd08e2e0bfb71c564417885570129e61e05cf38daa1a3058b90ef68d9e72
de7d80a1_track8_controlled_visual_d5_c1.0,controlled_visual,de7d80a1f5fb4c3e82ce8a4f213b450a,8,person,5,1.0,49;50;51;52;53,8999,"[750.6, 521.2, 783.4, 623.0]",sweeps/CAM_FRONT/n015-2018-11-21-19-38-26+0800__CAM_FRONT__1542800852012460.jpg,54a8ae47afa3505a144d1e5bf05ac40d7ffb777d1c02c460f25ec3db052c90d1
cc8c0bf5_track2_controlled_visual_d2_c0.5,controlled_visual,cc8c0bf57f984915a77078b10eb33198,2,car,2,0.5,35;36,1282,"[997.1, 479.3, 1037.2, 506.7]",sweeps/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930512460.jpg,f692ad45d22b9cbce577e5a4e1693eada5a31f386621ad32f9bddb6085e963b6
cc8c0bf5_track2_controlled_visual_d2_c1.0,controlled_visual,cc8c0bf57f984915a77078b10eb33198,2,car,2,1.0,35;36,455,"[988.8, 473.6, 1045.5, 512.4]",sweeps/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930512460.jpg,9304e72b71786233b45ddff10b58d32ef683335dc030832ab9dbc8b703dc38f6
cc8c0bf5_track2_controlled_visual_d5_c0.5,controlled_visual,cc8c0bf57f984915a77078b10eb33198,2,car,5,0.5,34;35;36;37;38,7279,"[999.6, 480.6, 1033.5, 502.9]",sweeps/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930412460.jpg,0eda9c5250db85031040e94a9af1a68ae264d840c15348a957e2666b67f1d970
cc8c0bf5_track2_controlled_visual_d5_c1.0,controlled_visual,cc8c0bf57f984915a77078b10eb33198,2,car,5,1.0,34;35;36;37;38,8591,"[992.6, 475.9, 1040.6, 507.6]",sweeps/CAM_FRONT/n015-2018-07-24-11-22-45+0800__CAM_FRONT__1532402930412460.jpg,4ac2ef6ccd3b271b5c7695620524c873cc9fe9f9844a58141c6282b5da972a19
c5224b9b_track18_controlled_visual_d2_c0.5,controlled_visual,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,2,0.5,185;186,8303,"[821.6, 476.0, 851.7, 507.9]",sweeps/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448759912460.jpg,f5c3a55d63b6e00b12eb1cb0bab7a5083492c62ea4c78c2ac6459f5885e4b987
c5224b9b_track18_controlled_visual_d2_c1.0,controlled_visual,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,2,1.0,185;186,2502,"[815.4, 469.4, 858.0, 514.5]",sweeps/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448759912460.jpg,ae75a2aeb90c4da810ad000e89da11add16fb9d808fa892d149564ba209443a5
c5224b9b_track18_controlled_visual_d5_c0.5,controlled_visual,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,5,0.5,184;185;186;187;188,4730,"[822.1, 475.6, 851.3, 507.5]",sweeps/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448759862460.jpg,4d57e717a32c692ae10f847cb36f0c666edc90e87f8422f42f21809710023250
c5224b9b_track18_controlled_visual_d5_c1.0,controlled_visual,c5224b9b454b4ded9b5d2d2634bbda8a,18,car,5,1.0,184;185;186;187;188,6294,"[816.0, 469.0, 857.4, 514.1]",sweeps/CAM_FRONT/n015-2018-10-02-10-50-40+0800__CAM_FRONT__1538448759862460.jpg,b8e8d935c5de6e6ccd3faa343646e9935a5fe56d8701b2ffe6339d603509a460
6f83169d_track21_controlled_visual_d2_c0.5,controlled_visual,6f83169d067343658251f72e1dd17dbc,21,car,2,0.5,138;139,6191,"[463.4, 480.0, 528.5, 517.7]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307612404.jpg,1ab895fc86218bc5ea9ba9c0b756e95f50d8aad936ad1008437d3444ca15923f
6f83169d_track21_controlled_visual_d2_c1.0,controlled_visual,6f83169d067343658251f72e1dd17dbc,21,car,2,1.0,138;139,7322,"[449.9, 472.1, 542.0, 525.5]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307612404.jpg,4e04e20161abf165785b16d8ff783b3e5c767eb3ba21a252b8e74ce5db920d2f
6f83169d_track21_controlled_visual_d5_c0.5,controlled_visual,6f83169d067343658251f72e1dd17dbc,21,car,5,0.5,137;138;139;140;141,849,"[464.7, 479.8, 528.2, 517.9]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307512404.jpg,5f349cb43a94184c21af9204fef31324bd60cf7787ee991243bc159418f7d2b8
6f83169d_track21_controlled_visual_d5_c1.0,controlled_visual,6f83169d067343658251f72e1dd17dbc,21,car,5,1.0,137;138;139;140;141,2059,"[451.5, 472.0, 541.4, 525.8]",sweeps/CAM_FRONT/n008-2018-08-28-16-43-51-0400__CAM_FRONT__1535489307512404.jpg,b3897eff3e9ae3ab8785511f86a87c9d5b9e92a9d7ab63bba23bd0bc73ebc5e5
