run_id,scenario,family,method,gap_frames,hidden_frames_alive,hidden_coverage,fully_bridged,same_id_recovery,mean_center_error_px,ghost_duration_frames,relation_supported_frames,wrong_associations,runtime_ms
eac923a94d04,ordinary_miss,negative,relational_no_clearance,6,1,0.16666666666666666,False,,0.006492209348778033,1,0,0,0.5106152966618538
eac923a94d04,ordinary_miss,negative,relational_complete,6,1,0.16666666666666666,False,,0.006492209348778033,1,0,0,0.5003204569220543
eac923a94d04,field_of_view_exit,negative,bytetrack_b5,6,5,0.8333333333333334,False,,3.044346783859371,5,0,0,1.630120910704136
eac923a94d04,field_of_view_exit,negative,bytetrack_b12,6,6,1.0,True,,3.051538154214945,6,0,0,1.2755179777741432
eac923a94d04,field_of_view_exit,negative,selective_oatm,6,0,0.0,False,,,0,0,0,0.7648644968867302
eac923a94d04,field_of_view_exit,negative,relational_camera,6,0,0.0,False,,,0,0,0,1.0314574465155602
eac923a94d04,field_of_view_exit,negative,relational_no_clearance,6,0,0.0,False,,,0,0,0,0.9543728083372116
eac923a94d04,field_of_view_exit,negative,relational_complete,6,0,0.0,False,,,0,0,0,0.8934587240219116
eac923a94d04,failed_reappearance,negative,bytetrack_b5,7,5,0.7142857142857143,False,,0.018477826608091164,5,0,0,2.059836871922016
eac923a94d04,failed_reappearance,negative,bytetrack_b12,7,7,1.0,True,,0.02447063523774773,7,0,0,1.817065291106701
eac923a94d04,failed_reappearance,negative,selective_oatm,7,2,0.2857142857142857,False,,0.009488613663606316,2,0,0,1.547892577946186
eac923a94d04,failed_reappearance,negative,relational_camera,7,5,0.7142857142857143,False,,27.990863440655538,5,5,0,2.4903882294893265
eac923a94d04,failed_reappearance,negative,relational_no_clearance,7,7,1.0,True,,31.41365180448262,7,7,0,1.6890577971935272
eac923a94d04,failed_reappearance,negative,relational_complete,7,5,0.7142857142857143,False,,27.990863440655538,5,5,0,1.6329661011695862
