sample_number,stage_number,stage_name,image_filename,detected_class,confidence,x1,y1,x2,y2,box_width,box_height,inference_time_ms
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.65707,767.4,447.95,801.61,475.65,34.2,27.7,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,person,0.63226,50.88,479.21,90.6,569.24,39.72,90.03,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,person,0.47585,0.05,492.16,29.81,591.22,29.77,99.06,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.30434,1195.17,466.88,1599.45,685.82,404.28,218.94,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.30001,640.85,439.34,716.78,499.12,75.93,59.79,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.25125,809.39,450.98,842.12,469.1,32.73,18.11,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.24314,1264.84,441.68,1316.18,482.4,51.34,40.72,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.22176,469.44,459.65,544.91,501.35,75.47,41.7,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.16554,717.74,449.33,750.97,488.0,33.23,38.67,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.16158,804.66,451.85,828.62,471.35,23.96,19.5,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.1487,685.5,452.63,719.2,496.38,33.7,43.75,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.14764,715.85,452.43,750.78,490.58,34.93,38.15,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.14492,913.88,452.02,949.2,476.54,35.32,24.52,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.11907,936.37,450.9,959.29,477.5,22.92,26.6,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.1184,645.77,446.51,716.69,499.27,70.92,52.76,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,traffic light,0.10729,1232.22,283.0,1267.49,335.34,35.27,52.34,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.10162,1577.42,451.55,1599.25,513.49,21.82,61.95,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,person,0.09486,1232.91,423.14,1268.75,530.63,35.84,107.49,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.09441,960.47,454.58,992.19,496.4,31.72,41.82,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,truck,0.08585,862.26,455.56,906.33,494.66,44.07,39.1,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.08245,957.28,450.6,994.29,479.89,37.01,29.29,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.07936,1167.52,450.36,1202.49,479.42,34.97,29.06,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.07623,643.78,454.99,693.84,500.49,50.06,45.5,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,person,0.07618,1577.42,451.55,1599.25,513.49,21.82,61.95,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.06913,691.1,441.67,723.2,495.82,32.1,54.15,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,person,0.05459,582.2,444.14,603.91,475.01,21.71,30.87,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.05442,742.26,449.34,759.56,482.05,17.29,32.71,162.43
sample_001,2,first_partial_occlusion,2_first_partial_occlusion.jpg,car,0.05313,1132.37,446.56,1160.84,490.73,28.47,44.17,162.43
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.93494,1271.24,479.71,1600.0,755.27,328.76,275.56,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.92538,340.77,461.82,810.09,651.44,469.32,189.63,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.77908,225.0,495.11,377.73,591.3,152.73,96.19,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.67061,861.8,466.66,901.83,499.92,40.03,33.26,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.46278,1281.7,270.23,1323.98,356.31,42.28,86.08,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.38911,983.67,465.55,1063.13,516.22,79.47,50.68,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.31629,859.56,468.76,900.91,499.99,41.35,31.22,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,person,0.28286,1226.4,458.72,1254.11,538.79,27.7,80.06,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.28202,707.11,459.84,753.64,497.8,46.53,37.96,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.25864,767.03,458.9,799.69,487.65,32.66,28.74,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,person,0.23763,1220.79,460.22,1253.14,538.12,32.35,77.9,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.1567,913.09,462.59,957.62,487.22,44.53,24.63,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.14969,639.2,444.99,702.46,485.26,63.26,40.26,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.14127,926.32,462.27,964.56,492.37,38.23,30.1,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.12974,957.06,464.45,997.35,503.15,40.29,38.7,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.12233,769.22,456.15,800.67,485.69,31.46,29.54,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.11292,720.82,463.74,758.7,494.78,37.88,31.04,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.08698,639.68,449.23,716.21,503.74,76.53,54.51,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.08399,1255.93,446.67,1292.71,489.28,36.78,42.61,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.07909,760.61,462.12,794.67,488.89,34.06,26.77,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.07778,1340.13,453.13,1394.75,477.98,54.62,24.85,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,person,0.0754,594.92,427.54,626.51,461.66,31.58,34.12,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,person,0.07039,268.45,481.33,295.48,522.7,27.03,41.38,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.07011,820.68,464.24,843.29,483.32,22.61,19.08,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.0696,684.36,458.58,741.61,499.55,57.25,40.97,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,person,0.06673,615.5,427.66,643.42,461.2,27.91,33.54,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.06316,961.13,463.64,1006.11,506.47,44.98,42.83,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.05982,1257.4,452.6,1292.07,492.14,34.67,39.53,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.05858,806.03,456.24,847.35,480.11,41.32,23.87,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.05833,637.73,446.75,704.45,506.83,66.72,60.08,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.0575,804.51,463.42,828.79,482.55,24.28,19.13,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,car,0.05601,953.45,466.95,1000.19,509.57,46.73,42.62,182.73
sample_001,3,full_occlusion,3_full_occlusion.jpg,person,0.05244,552.43,427.49,584.11,463.2,31.68,35.71,182.73
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.91691,1305.91,483.49,1600.0,795.94,294.09,312.45,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.89228,525.94,463.93,895.47,632.93,369.53,168.99,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.88674,198.31,499.25,402.75,596.6,204.44,97.35,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.8539,386.07,482.56,560.32,608.47,174.25,125.9,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.50808,998.94,466.28,1064.59,518.64,65.65,52.37,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.45154,860.83,468.27,898.61,496.92,37.77,28.66,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.35438,858.08,466.71,897.73,498.17,39.65,31.46,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.34602,1283.36,453.05,1324.22,491.9,40.85,38.86,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.17684,1264.38,453.22,1323.61,493.95,59.22,40.74,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.17065,909.98,463.65,955.52,490.71,45.54,27.06,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.16753,638.3,444.87,697.88,470.85,59.59,25.98,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.15638,947.62,464.76,993.79,504.47,46.17,39.72,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,person,0.15043,1313.48,398.94,1360.15,579.53,46.67,180.59,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.15039,963.26,464.43,1011.1,508.98,47.84,44.55,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,person,0.12344,242.17,480.69,269.36,530.63,27.19,49.94,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.12257,325.34,497.46,402.57,539.74,77.22,42.27,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.11954,929.9,464.51,962.55,496.22,32.65,31.71,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.11228,1254.38,456.77,1291.48,494.18,37.1,37.41,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.10592,967.49,466.31,1007.73,513.25,40.23,46.94,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.10244,1224.52,453.16,1264.5,492.08,39.98,38.92,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.09628,1267.13,448.92,1324.13,493.01,57.0,44.09,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,person,0.09017,1229.94,456.87,1255.52,535.19,25.57,78.33,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.08439,951.15,466.94,994.43,510.03,43.29,43.09,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.08366,1284.43,452.35,1322.52,489.11,38.09,36.77,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.08049,444.29,481.48,508.73,523.34,64.44,41.86,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.07653,638.57,449.56,678.76,469.7,40.18,20.14,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.07363,1259.78,451.56,1301.92,493.53,42.14,41.97,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.06553,1381.73,421.67,1562.99,525.87,181.26,104.2,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.06237,805.48,464.39,845.7,499.28,40.22,34.89,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,traffic light,0.06062,494.94,416.53,512.06,437.54,17.11,21.01,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.05937,1385.1,471.33,1470.18,527.07,85.08,55.74,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.05858,458.58,486.62,507.73,521.03,49.15,34.41,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,truck,0.0582,1378.09,380.19,1564.41,525.47,186.31,145.28,156.37
sample_001,4,first_partial_appearance,4_first_partial_appearance.jpg,car,0.0524,950.13,461.79,1003.6,507.17,53.47,45.39,156.37
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.92284,307.19,487.34,598.92,626.28,291.74,138.95,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.88348,670.55,461.18,944.48,622.16,273.94,160.98,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.80445,161.62,501.81,376.69,608.49,215.07,106.67,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.80384,1358.71,492.78,1599.25,764.99,240.54,272.21,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.61643,1000.42,469.73,1067.34,524.8,66.92,55.07,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.42513,1291.13,457.17,1352.86,497.4,61.73,40.22,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.39156,1248.06,454.19,1349.31,500.7,101.24,46.51,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.27672,297.36,501.66,376.46,540.21,79.09,38.55,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,person,0.23816,208.95,480.2,236.03,542.94,27.08,62.75,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.22534,906.17,466.7,961.83,498.97,55.66,32.27,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.20112,931.98,468.18,967.49,501.21,35.51,33.04,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,person,0.17599,206.31,481.03,232.52,545.11,26.22,64.09,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.17479,966.84,469.48,1004.02,516.46,37.18,46.98,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,truck,0.16807,613.04,452.45,695.75,524.93,82.7,72.48,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,parking meter,0.16208,1353.42,405.18,1403.36,521.12,49.94,115.94,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,person,0.1404,207.0,482.72,235.6,542.66,28.59,59.94,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,person,0.12129,204.78,487.55,230.8,544.49,26.02,56.94,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.11357,956.19,468.5,989.8,507.92,33.61,39.42,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,truck,0.10912,1403.42,440.39,1586.77,532.79,183.35,92.39,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.10886,563.57,479.25,615.53,514.99,51.97,35.74,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.10309,1161.02,461.29,1252.55,500.07,91.53,38.77,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.09655,965.79,467.09,1007.81,511.3,42.02,44.22,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.09649,1403.42,440.39,1586.77,532.79,183.35,92.39,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.0825,956.62,470.42,987.82,511.92,31.2,41.5,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.07503,1285.71,455.88,1352.12,498.28,66.41,42.41,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.07153,613.04,452.45,695.75,524.93,82.7,72.48,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.07033,1246.94,458.98,1294.29,499.84,47.35,40.86,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.06381,892.75,466.58,929.13,500.25,36.39,33.66,161.0
sample_001,5,full_appearance,5_full_appearance.jpg,car,0.05199,208.49,492.86,274.51,542.34,66.02,49.48,161.0
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.91356,548.45,465.73,924.1,588.81,375.65,123.08,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.8614,378.58,483.64,555.58,546.98,177.0,63.34,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.80065,19.3,450.47,383.05,589.7,363.75,139.24,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.72824,1040.77,187.99,1072.87,253.52,32.1,65.53,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.46517,1093.63,116.64,1129.85,202.82,36.22,86.18,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.43578,1440.16,3.25,1502.63,201.66,62.47,198.41,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.32784,1171.58,53.58,1220.52,162.87,48.94,109.29,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.23382,727.1,320.26,745.44,353.41,18.34,33.15,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.11069,591.68,328.21,607.88,364.93,16.2,36.71,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.10665,589.43,328.68,607.7,365.98,18.27,37.3,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,car,0.07953,1484.04,421.6,1599.56,492.18,115.52,70.58,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.06239,1426.32,227.68,1518.74,289.11,92.43,61.44,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,truck,0.06164,19.3,450.47,383.05,589.7,363.75,139.24,171.58
sample_003,1,previous_no_occlusion,1_previous_no_occlusion.jpg,traffic light,0.05013,724.86,316.04,744.15,344.83,19.3,28.79,171.58
sample_003,3,full_occlusion,3_full_occlusion.jpg,car,0.90351,934.21,453.22,1310.5,576.68,376.29,123.46,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.73914,1041.03,186.78,1072.53,253.89,31.5,67.11,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,car,0.54284,248.43,436.92,637.06,579.22,388.62,142.31,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.52354,1439.2,3.11,1502.75,200.46,63.55,197.35,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.47415,1093.86,116.45,1129.7,196.47,35.84,80.02,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.39877,1171.54,50.22,1220.13,162.32,48.59,112.11,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,car,0.32404,1.6,459.04,177.5,604.53,175.9,145.49,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,truck,0.30733,248.43,436.92,637.06,579.22,388.62,142.31,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,car,0.28297,0.3,473.34,115.54,605.8,115.24,132.46,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.24165,726.92,322.2,745.36,354.44,18.43,32.24,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,truck,0.15723,0.04,399.7,178.01,603.21,177.97,203.51,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.13752,1426.5,227.0,1506.13,290.36,79.63,63.36,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.13158,589.13,327.97,608.08,367.61,18.95,39.64,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.0954,591.8,327.59,608.3,366.53,16.5,38.94,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,car,0.09338,0.04,399.7,178.01,603.21,177.97,203.51,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.08649,588.35,328.58,608.39,372.35,20.04,43.77,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,truck,0.07392,0.3,473.34,115.54,605.8,115.24,132.46,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,truck,0.06958,1.6,459.04,177.5,604.53,175.9,145.49,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.06046,1330.57,269.72,1358.42,324.4,27.85,54.68,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.05263,724.96,329.64,744.21,366.32,19.25,36.69,183.82
sample_003,3,full_occlusion,3_full_occlusion.jpg,traffic light,0.05045,934.46,414.66,956.03,436.6,21.57,21.93,183.82
sample_003,5,full_appearance,5_full_appearance.jpg,bus,0.87789,1019.54,332.19,1598.3,574.04,578.75,241.85,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,car,0.8606,221.64,480.82,548.99,576.87,327.35,96.05,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.72812,1041.21,188.09,1072.38,253.69,31.17,65.59,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,car,0.59498,633.79,482.47,682.62,521.12,48.83,38.65,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.5156,1093.72,116.76,1130.01,204.76,36.29,87.99,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,bus,0.47977,0.0,414.66,355.09,570.58,355.09,155.92,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.35645,1171.47,50.74,1220.26,160.6,48.8,109.87,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.33914,1439.18,3.88,1502.94,203.18,63.76,199.3,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,car,0.29272,543.78,479.28,590.12,523.82,46.34,44.55,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.28258,727.53,321.2,745.79,352.37,18.26,31.17,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.17018,588.99,328.35,607.81,365.97,18.82,37.62,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.13372,455.23,303.33,510.53,403.08,55.3,99.75,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,car,0.12932,1555.31,478.32,1599.41,557.39,44.1,79.07,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,car,0.1261,588.05,483.14,636.92,521.15,48.87,38.01,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.1131,592.03,328.13,608.24,365.5,16.21,37.37,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,traffic light,0.08573,588.38,328.97,608.23,369.96,19.85,40.99,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,car,0.08145,891.98,490.89,928.22,517.56,36.24,26.67,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,truck,0.07471,0.0,414.66,355.09,570.58,355.09,155.92,141.68
sample_003,5,full_appearance,5_full_appearance.jpg,car,0.07418,0.36,598.13,144.96,719.24,144.6,121.11,141.68
